0,1,2,3,4,5,6
Certification,No. of weights,Weight,Supplier No.,VWR Catalog Number,Unit,Price
NVLAP,27 pieces,2-2 kg–1 mg,80859114,14216-908,Each,"$9,120.97"
NVLAP,25 pieces,1 kg–1 mg,80859166,14216-872,Each,"$6,363.74"
NVLAP,21 pieces,100 g–1 mg,80859318,12666-034,Each,"$3,222.30"
NVLAP,17 pieces,100 g–10 mg,80859288,12666-032,Each,"$2,759.47"
NVLAP,26 pieces,2 kg–1 mg,80859140,14216-884,Each,"$7,571.91"
NVLAP,9 pieces,100 g–1 g,80859262,12666-030,Each,"$1,707.01
New Customer Promotional Price :
$1,365.61"
NVLAP,23 pieces,2-200 g–1 mg,80859222,14216-842,Each,"$3,691.87"
NVLAP,20 pieces,50 g–1 mg,80859385,12666-038,Each,"$3,008.38"
NVLAP,8 pieces,50 g–1 g,80859333,12666-036,Each,"$1,620.81
New Customer Promotional Price :
$1,296.65"
NVLAP,22 pieces,200 g–1 mg,80859249,14216-818,Each,"$3,398.53"
NVLAP,24 pieces,500 g–1 mg,80859196,14216-860,Each,"$5,280.82"
NVLAP,12 pieces,500 mg–1 mg,80859476,12765-896,Each,"$1,319.65
New Customer Promotional Price :
$1,055.72"
NVLAP,12 pieces,500 mg–1 mg,80859477,12765-894,Each,"$1,639.85
New Customer Promotional Price :
$1,311.88"
NVLAP,28 pieces,5 kg–1 mg,80859088,14216-926,Each,"$10,561.53"
Statement of Accuracy,25 pieces,1 kg–1 mg,80859164,14216-868,Each,"$4,507.98"
Statement of Accuracy,23 pieces,2-200 g–1 mg,80859220,14216-838,Each,"$1,903.11
New Customer Promotional Price :
$1,522.49"
Statement of Accuracy,28 pieces,5 kg–1 mg,80859086,14216-922,Each,"$8,209.48"
Statement of Accuracy,26 pieces,2 kg–1 mg,80859138,14216-880,Each,"$5,762.36"
Statement of Accuracy,17 pieces,100 g–10 mg,80859286,12666-002,Each,"$1,484.29
New Customer Promotional Price :
$1,187.43"
Statement of Accuracy,27 pieces,2-2 kg–1 mg,80859112,14216-904,Each,"$6,601.68"
Statement of Accuracy,9 pieces,100 g–1 g,80859260,12666-000,Each,"$1,495.64
New Customer Promotional Price :
$1,196.51"
Statement of Accuracy,24 pieces,500 g–1 mg,80859194,14216-856,Each,"$3,320.71"
Statement of Accuracy,20 pieces,50 g–1 mg,80859383,12666-009,Each,"$1,539.54
New Customer Promotional Price :
$1,231.63"
Statement of Accuracy,8 pieces,50 g–1 g,80859330,12666-006,Each,"$942.16
New Customer Promotional Price :
$753.73"
Statement of Accuracy,21 pieces,100 g–1 mg,80859315,12666-004,Each,"$1,649.45
New Customer Promotional Price :
$1,319.56"
Statement of Accuracy,12 pieces,500 mg–1 mg,80859475,12765-892,Each,"$842.99
New Customer Promotional Price :
$674.39"
Statement of Accuracy,22 pieces,200 g–1 mg,80859247,14216-814,Each,"$2,478.57
New Customer Promotional Price :
$1,982.86"
Traceable,27 pieces,2-2 kg–1 mg,80859113,14216-906,Each,"$8,224.80"
Traceable,25 pieces,1 kg–1 mg,80859165,14216-870,Each,"$5,531.69"
Traceable,26 pieces,2 kg–1 mg,80859139,14216-882,Each,"$6,654.66"
Traceable,23 pieces,2-200 g–1 mg,80859221,14216-840,Each,"$4,120.01"
Traceable,20 pieces,50 g–1 mg,80859384,12666-028,Each,"$2,251.30
New Customer Promotional Price :
$1,801.04"
Traceable,28 pieces,5 kg–1 mg,80859087,14216-924,Each,"$9,701.54"
Traceable,8 pieces,50 g–1 g,80859332,12666-026,Each,"$1,251.85
New Customer Promotional Price :
$1,001.48"
Traceable,21 pieces,100 g–1 mg,80859317,12666-024,Each,"$2,328.28
New Customer Promotional Price :
$1,862.62"
Traceable,17 pieces,100 g–10 mg,80859287,12666-022,Each,"$2,024.71
New Customer Promotional Price :
$1,619.77"
Traceable,9 pieces,100 g–1 g,80859261,12666-020,Each,"$1,407.35
New Customer Promotional Price :
$1,125.88"
Traceable,24 pieces,500 g–1 mg,80859195,14216-858,Each,"$4,386.39"
Traceable,22 pieces,200 g–1 mg,80859248,14216-816,Each,"$2,626.06"
,,,,,,
,,,,,,
